แสงสว่าง,ทางเท้า,ถนน,ฟุตบาท,การกีดขวาง,ความสะอาด,ท่อระบายน้ำ,สายไฟ,คลอง,ความปลอดภัย,การเดินทาง,สะพาน,น้ำท่วม,สัตว์จรจัด,แจ้งเรื่อง,รบกวน,คนเช็ดกระจก,คนไร้บ้าน,ร้านเหล้าเปิดเกินเวลา,อินเทอร์เน็ต,ขอบคุณ,ทุจริต,ติดตามเรื่อง,ของหาย,น้ำไม่ไหล,ห้องน้ำ,โรงพยาบาล,ภาพถ่าย,อนาจาร,ป้าย,ความรุนแรง,ห้องน้ำ,หม้อแปลงไฟ,ควันบุหรี่ ,บอท,กล้องวงจรปิด,ทดสอบระบบ,ชำรุด
ไม่มีไฟ,ทางเท้าชำรุด,ถนนพัง,ไม่มีฟุตบาท,กีดขวางทางจราจร,ไม่มีถังขยะ,ไม่มีท่อระบายน้ำ,สายไฟห้อย,คลองตัน,ไม่มีกล้องวงจรปิด,ไม่มีรถเมล์,สะพานชำรุด,น้ำท่วม,แมว,แจ้ง ,เสียงดัง,เช็ดกระจก,คนไร้บ้าน,ร้านเหล้าเปิดเกินเวลา,อินเทอร์เน็ต,ขอคุณ,ตรวจสอบ,ติดตามเรื่ื่อง,จักรยานหาย,น้ำไม่ไหล,ห้องน้ำชำรุด,โรงพยาบาล,รูปภาพ,อนาจาร,ป้าย,ความรุนแรงในครอบครัว,ห้องน้ำ,หม้อแปลงไฟ,บุหรี่,บอท,กล้องวงจรปิด,ทดสอบระบบ,ชำรุด
ไฟดับ,ไม่มีทางเท้า,ถนนเป็นหลุม,ฟุตบาทไม่เรียบ,กัดขวางทางเท้า,ถังขยะไม่เพียงพอ,ฝาท่อชำรุด,สายสื่อสารห้อย,คลองเน่า,ไฟจราจรเสีย,รถเมล์ไม่มี,สะพายลอยชำรุด,น้ำขัง,หมา,ร้องเรียน,เสียง,ทำความสะอาดกระจก,คนเร่ร่อน,,อินเตอร์เน็ต,ขอบคุณคะ,ความโปร่งใส,ติดตาม,รถยนต์หาย,น้ำประปาไม่ไหล,ห้องน้ำสาธารณะชำรุด,รพ,ภาพถ่าย,ลามก,ป้ายชำรุด,อาละวาด,,หม้อปั่นไฟ,สูบบุหรี่,เอไอ,วงจรปิด,ทดลอง,เสียหาย
ไม่มีไฟส่องสว่าง ,ไม่มีทางเดิน,ถนนไม่เรียบ,ฟุตบาทพัง,กัดขวางทางเดิน,ขยะส่งกลิ่นเหม็น,ท่อตัน,สายไฟไม่เป็นระเบียบ,คลองส่งกลิ่นเหม็น,สัญญาณไฟจราจรใช้งานไม่ได้,ป้ายรถเมล์ไม่มี,สะพานทรุด,น้ำท่วมขัง,แมวจร,แจ้งปัญหา,เสียงรบกวน,ถูกระจก,คนจร,,เนตไม่ดี,ขอบพระคุณ,เงินใต้โต๊ะ,ตามเรื่อง,มอเตอร์ไซค์หาย,น้ำประปาไม่่มี,,หมอ,ภาพ,คุกคาม,ป้ายพัง,ทำร้ายร่างกาย,,หม้อไฟ,,AI,,ทดสอบ,พัง
ไฟถนนดับ,ทางเท้าพัง,ถนนชำรุด,ฟุตบาทชำรุด,กีดขวางทางจราจร,ขยะเน่าเหม็น,ฝาท่อระบายน้ำชำรุด,สายไฟเกะกะ,คลองตื้นเขิน,ไฟข้ามถนนใช้ไม่ได้,ไม่มีรถประจำทาง,สะพานไม่มี,ท่วม,หมาจร,ขอความเป็นธรรม,สั่นสะเทือน,เช็คกระจก,ขอทานเด็ก,,เนตช้า,ขอบคุณครับ,ทุจริต,ตามเรื่ื่องเก่า,,ไม่มีน้ำ,,รพ.,รูป,คุกคามทางเพศ,ป้ายเสียหาย,,,,,Auto,,ทดรอง,
ไฟไม่ติด,ทางเท้าไม่เรียบ,ถนนเป็นหลุมเป็นบ่อ,ฟุตบาทเป็นหลุม,จอดกีดขวาง,ถังขยะชำรุด,ท่อระบายน้ำตัน,สายไฟฟ้าห้อย,คลองเน่าเหม็น,ไฟจราจรไม่ติด,ป้ายรถเมล์ชำรุด,สะพานลอยเปลี่ยว,น้ำระบายช้า,แมวจรจัด,แจ้งเรื่ื่อง,ควันรบกวน,,ขอทาน,,เนตเน่า,ขอบคุณ,เรียกเก็บเงิน,ไม่มีคนรับเรื่อง ,,ไม่ไหล,,เลื่อนคิว,ถ่าย,,,,,,,ระบบอัตโนมัติ,,,
ถนนมืด,ทางเท้าแตก,ถนนขรุขระ,ฟุตบาทไม่มี,รถจอดกีดขวาง,ไม่มีการจัดการขยะ,ฝาท่อแตก,สายสัญญาณห้อย,คลองเหม็น,สัญญาณไฟจราจรเสีย,,สะพานสกปรก,ระบายน้ำ,หมาจรจัด,อยากให้,สร้างความรำคาญ,,ไร้บ้าน,,ิอินเทอเน็ต,ชื่นชม,ละเว้นการปฏิบัติหน้าที่,ประสานงาน,,น้ำประปา,,ร.พ.,วิดีโอ,,,,,,,,,,
ไม่มีสัญญาณไฟ,ทางเท้าสกปรก,ถนนเป็นหลุมบ่อ,ฟุตบาทแตก,จอดขวางทาง,ขยะเหม็น,ไม่มีท่อ,สายสื่้อสารไม่เป็นระเบียบ,คลองสกปรก,กล้องวงจรปิดใช้ไม่ได้,การจราจรอันตราย,สะพานเป็นหลุมเป็นบ่อ,น้ำไม่ระบาย,แมวเร่ร่อน ,อยากไห้,นอนไม่ได้,,คนบ้า,,,,รับสินบน,ยังไม่ได้ทำ,,ปะปา,,,คลิป,,,,,,,,,,
ไฟถนนไม่ติด,ทางเท้าขรุขระ,ไม่มีทางม้าลาย,ฟุตบาทขระขระ,รถจอดขวางทางม้าลาย,ถังขยะแตก,ฝาท่อพัง,สายไฟฟ้าห้อยต่ำ,คลองไม่มี,ไม่มีสัญญาณไฟจราจร,รถเมล์ไม่เพียงพอ,สะพานลอยน่ากลัว,น้ำทั่ว,หมาเร่ร่อน ,แจ้งเรื่อง,รบกวน,,สติไม่ดี,,,,เก็บค่าผ่านทาง,ยังไม่สู่,,ไม่สามารถใช้น้ำ,,,วิดิโอ,,,,,,,,,,
ไฟมืด,ทางเท้าไม่สะดวก,ถนนทรุด,ฟุตบาทมีน้ำขัง,จอดรถกีดขวาง,รถขยะไม่เพียงพอ,ท่ออุดตัน,สายไฟห้อยต่ำ,น้ำเน่าเสีย,ไม่มีไฟจราจร,รถเมล์วิ่งน้อย,สะพานลอยไม่ปลอดภัย,น้ำยังขัง,มีแมว,แจ้งไป,ฝุ่นควัน,,พูดขอตัง,,,,ละเว้นการปฏิบัติหน้าที่,ยังไม่เข้าสู่,,,,,,,,,,,,,,,
ไฟฟ้าดับ,ทางเท้าเสียหาย,เส้นทางม้าลายไม่ชัด,ฟุตบาททรุด,รถจอดขวางทาง,ขยะอุดตัน,ฝาท่อระบายน้ำแตก,สายสัญญาณห้อยต่ำ,น้ำเน่าเหม็น,สัญญาณไฟจราจรไม่มี,ป้ายรถเมล์ทรุดโทรม,สะพานเสียหาย,น้ำเจิ่งนอง,มีหมา,,,,สติไม่สมประกอบ,,,,ของหลวง,ความคืบหน้า,,,,,,,,,,,,,,,
ไม่มีไฟฟ้า,ทางเท้าทรุดตัว,พื้นถนนไม่เรียบ,ฟุตบาทอันตราย,ต้นไม้กีดขวาง,ขยอันตราย,ท่อชำรุด,สายสื่อสารชำรุด,น้ำเน่าส่งกลิ่นเหม็น,ทางม้าลายใช้ไม่ได้,ป้ายรถเมล์ไม่ปลอดภัย,ไม่มีสะพานข้ามคลอง ,น้ำรอการระบาย,ปัญหาแมว,,,,,,,,ไม่มีใบอนุญาตเปิด,แจ้งเรื่องไปแล้ว,,,,,,,,,,,,,,,
ไฟเสีย,ทางเท้าทรุด,ไม่มีเส้นชะลอความเร็ว,ฟุตบาทเละเทะ,จอดรถขวางทาง,กองขยะส่งกลิ่นเหม็น,ฝาท่อปิดไม่สนิท,สายไฟไม่เรียบร้อย,คลองทรุด,สัญญาณไฟไม่มี,ไม่มีป้ายรถเมล์,สะพาน,ระบายไม่ทัน,ปัญหาหมา,,,,,,,,เก็บค่าแผง,ยังไม่ได้รับการแก้ไข,,,,,,,,,,,,,,,
ไฟส่องสว่างดับ,ทางเดินชำรุด,ผิวถนนขรุขระ,ฟุตบาทเสียหาย,จอดทับทางม้าลาย,ขยะเน่าเสีย,ท่อน้ำตัน,สายไฟฟ้าไม่เรียบร้อย,น้ำเสีย,การจราจรไม่ปลอดภัย,รถเมล์อันตราย,,น้ำนอง,สุนัขจร,,,,,,,,,ไม่มีการดำเนินการ,,,,,,,,,,,,,,,
ไม่มีแสงไฟ,ทางเท้าเป็นหลุม,ถนนไม่มี,ฟุตบาทชำรุดเสียหาย,ต้นไม้ขวางทาง,จุดทิ้งขยะไม่เป็นระเบียบ,ท่อน้ำแตก,สายไฟชำรุด,คลอง,ความปลอดภัย,รถประจำทางไม่มี,,ฝนตก,สุนัขจรจัด,,,,,,,,,ส่งแล้วส่งอีก,,,,,,,,,,,,,,,
ทางเดินมืด,ทางเท้าแย่,ทางม้าลายไม่ชัด,ฟุตบาท,กีดขวางป้ายรถเมล์,ไม่มีรถขยะ,อุดตันท่อระบายน้ำ,สายไฟขวางทาง,น้ำเน่า,อันตราย,การเดินทาง,,,สุนัข,,,,,,,,,ไม่เห็นมีการแก้ไข,,,,,,,,,,,,,,,
